P08144037A0000|0 10|Thioredoxin
P09001245A0187|0 5|NUP145
P02830265A0341|0 5|RPA190
P07542616A0486|0 4|GCD10
P08005438A1185|0 4|SPP41
P09121476T0000|0 4|PRH75
P09882303A1413|0 4|TRAF2
P10400757A0000|0 4|CXCR4
P11517269A0472|0 4|Pitx2
P11358962A0344|0 4|Foxp1
P10477597A0126|0 4|TRAF2
P09244350A0000|0 4|BRCA1
P07542616A0313|0 4|GCD10
P06775834A0000|0 4|HLA-A
P07959953A0423|0 4|IFI16
P10518502T0000|0 4|nos-1
P08196618A0473|0 4|PRL-1
P08070654A0574|0 4|CDC31
P01588961A0000|0 3|STP1
P01759052A0786|0 3|Appl
P09447963A0223|0 3|Sip1
P10393197A0543|0 3|DDP1
P11263664T0000|0 3|SIP1
P10931950A0869|0 3|Cdk2
P10544037A0617|0 3|FZD4
P07954891T0000|0 3|ERV1
P01825027T0000|0 3|PAS1
P02327159T0001|0 3|Lars
P03062370A0000|0 3|GCN4
P07768953T0039|0 3|EEA1
P09020169A0552|0 3|SIM1
P08070654A0000|0 3|KAR1
P08552670A0665|0 3|Abp1
P08336698T0000|0 3|TFEC
P10721717A0676|0 3|Fgd3
P10722661A0146|0 3|CYC2
P10742114A0486|0 3|Dll3
P11016954A0438|0 3|AGO1
P11056019A0926|0 3|MED1
P11378898A0164|0 3|ORF1
P11108720A0124|0 3|S6K2
P08647086A0622|0 3|Cdk2
P08621659A0189|0 3|Gas6
P08139928T0000|0 3|RNP1
P07557424A0124|0 3|XYL1
P08012448T0000|0 3|INO2
P01808186A0984|0 3|Pigs
P08702543A0000|0 3|Gap1
P08798610A0843|0 3|PIP2
P09475724T0000|0 3|TOR2
P10391903T0000|0 3|Gab2
P10490843A0159|0 3|BCL6
P07654239A0698|0 2|Max
P01730412T0000|0 2|Max
P01583819A0377|0 2|SEA
P02717349A0311|0 2|Men
P10682570A0453|0 2|LPO
P02895566A0187|0 2|DPA
P08972182A0527|0 2|Fas
P08798782A0976|0 2|Lck
P09006935A0590|0 2|Sp1
P09121430A0132|0 2|Shc
P09308234A0225|0 2|Mnt
P11150315A1126|0 2|NGF
P10817754T0000|0 2|H19
P11369700A0074|0 2|CSR
P11108151A0560|0 2|Ang
P11150315A0844|0 2|NGF
P11376165T0000|0 2|FLP
P08649405T0000|0 2|Sp1
P09182707A0254|0 2|SPP
P09488441A0615|0 2|Sp1
P09716183A1036|0 2|TBP
P09915860A0119|0 2|Sp1
P09639074A0707|0 2|Sp1
P09178752A0574|0 2|EGF
P10364163A0092|0 2|Hrs
P09147420T0000|0 2|TAR
P09880103A0387|0 2|MPO
P09990315A0205|0 2|TPO
P07535593A0714|0 2|CD7
P08710377A0577|0 2|Cbl
P02994336A0864|0 1|FK
P10364319A0109|0 1|Cp
P06627569T0001|0 1|HL
P09366628T0000|0 1|Re
P07119890T0000|0 1|Re
P11595478A1014|0 1|Hp
P08473731A0149|0 0|B
P07981143A0633|1 7|stretch
P09770493A0499|2 5|PP2A
P08319396A0448|2 3|T2
P10527475A0643|2 3|PC
P04039307A0613|2 2|d
P07835088A0238|3 8|HSD3B1
P11244568A0506|3 8|Gap69C
